,Name of the Movie,Year of the Movie,Movie Rating
1,Pather Panchali,1955,8.5
2,Gol Maal,1979,8.5
3,Ratsasan,2018,8.5
4,Nayakan,1987,8.5
5,Anbe Sivam,2003,8.5
6,Apur Sansar,1959,8.4
7,Natsamrat,2016,8.4
8,Kireedam,1989,8.4
9,Pariyerum Perumal,2018,8.4
10,Black Friday,2004,8.4
11,Manichitrathazhu,1993,8.4
12,Thevar Magan,1992,8.4
13,96,2018,8.4
14,Kumbalangi Nights,2019,8.4
15,3 Idiots,2009,8.4
16,Taare Zameen Par,2007,8.3
17,Visaaranai,2015,8.3
18,Dangal,2016,8.3
19,Anand,1971,8.3
20,Thalapathi,1991,8.3
21,Aparajito,1956,8.3
22,Jaane Bhi Do Yaaro,1983,8.3
23,Vikram Vedha,2017,8.3
24,Pyaasa,1957,8.3
25,Asuran,2019,8.3
26,Guide,1965,8.3
27,Kannathil Muthamittal,2002,8.2
28,Chupke Chupke,1975,8.2
29,Jersey,2019,8.2
30,Kaithi,2019,8.2
31,Thani Oruvan,2015,8.2
32,Vada Chennai,2018,8.2
33,Soorarai Pottru,2020,8.2
34,Khosla Ka Ghosla!,2006,8.2
35,Drishyam,2013,8.2
36,Aruvi,2016,8.2
37,Super Deluxe,2019,8.2
38,Peranbu,2018,8.2
39,Tumbbad,2018,8.2
40,Andhadhun,2018,8.2
41,Agent Sai Srinivasa Athreya,2019,8.2
42,Mahanati,2018,8.2
43,Kaakkaa Muttai,2014,8.2
44,Premam,2015,8.2
45,Dhuruvangal Pathinaaru,2016,8.2
46,Satya,1998,8.2
47,Shahid,2012,8.2
48,Bangalore Days,2014,8.1
49,Soodhu Kavvum,2013,8.1
50,Mudhalvan,1999,8.1
51,Anniyan,2005,8.1
52,Gangs of Wasseypur,2012,8.1
53,Papanasam,2015,8.1
54,Jigarthanda,2014,8.1
55,Talvar,2015,8.1
56,Paan Singh Tomar,2012,8.1
57,Bhaag Milkha Bhaag,2013,8.1
58,Nil Battey Sannata,2015,8.1
59,"Swades: We, the People",2004,8.1
60,Sholay,1975,8.1
61,Hera Pheri,2000,8.1
62,Drishyam,2015,8.1
63,Pithamagan,2003,8.1
64,Black,2005,8.1
65,Chak De! India,2007,8.1
66,Jo Jeeta Wohi Sikandar,1992,8.1
67,Sairat,2016,8.1
68,Charulata,1964,8.1
69,Mughal-E-Azam,1960,8.1
70,Rang De Basanti,2006,8.1
71,Ustad Hotel,2012,8.1
72,Queen,2013,8.1
73,Udaan,2010,8.1
74,Article 15,2019,8.1
75,Zindagi Na Milegi Dobara,2011,8.1
76,A Wednesday,2008,8.1
77,Dil Chahta Hai,2001,8.1
78,Munna Bhai M.B.B.S.,2003,8.1
79,Sarfarosh,1999,8.1
80,Andaz Apna Apna,1994,8.1
81,Masaan,2015,8.1
82,OMG: Oh My God!,2012,8.1
83,Roja,1992,8.1
84,Lagaan: Once Upon a Time in India,2001,8.1
85,Maheshinte Prathikaaram,2016,8.1
86,Kahaani,2012,8.1
87,Alai Payuthey,2000,8.1
88,Theeran adhigaaram ondru,2017,8.1
89,PK,2014,8.1
90,Baasha,1995,8.1
91,Uri: The Surgical Strike,2018,8.1
92,Iqbal,2005,8.1
93,Pink,2016,8.1
94,Barfi!,2012,8.0
95,The Legend of Bhagat Singh,2002,8.0
96,Bommarillu,2006,8.0
97,Maqbool,2003,8.0
98,Lucia,2013,8.0
99,Bombay,1995,8.0
100,Omkara,(2006),8.0
